YEAR,WARD,AGE_RANGE,FEMALES,MALES,OTHER
2009,5,35-44,4419,4753,
2009,5,45-54,4714,4744,
2009,5,55-64,3133,3243,
2009,5,65-74,1544,1531,
2009,5,75+,1101,757,
2009,6,0-4,2881,3094,
2009,6,5-14,5520,5756,
2009,6,15-19,2700,2826,
2009,6,20-24,2664,2654,
2009,6,25-34,6415,5770,
2009,6,35-44,7919,7283,
2009,6,45-54,7289,7141,
2009,6,55-64,3924,3924,
2009,6,65-74,2458,2010,
2009,6,75+,2576,1649,
2009,7,0-4,1180,1227,
2009,7,5-14,1888,1962,
2009,7,15-19,1466,1508,
2009,7,20-24,3217,3622,
2009,7,25-34,5911,6806,
2009,7,35-44,4248,5118,
2009,7,45-54,4345,4954,
2009,7,55-64,2863,3204,
2009,7,65-74,2109,1869,
2009,7,75+,3126,2092,
2009,8,0-4,1113,1119,
2009,8,5-14,1315,1444,
2009,8,15-19,971,981,
2009,8,20-24,3373,2988,
2009,8,25-34,10078,11648,
2009,8,35-44,5308,7486,
2009,8,45-54,3907,5070,
2009,8,55-64,2373,2883,
2009,8,65-74,1500,1305,
2009,8,75+,1539,958,
2009,9,0-4,1576,1625,
2009,9,5-14,2547,2520,
2009,9,15-19,1362,1539,
2009,9,20-24,2182,2172,
2009,9,25-34,5795,6177,
2009,9,35-44,4926,5954,
2009,9,45-54,4782,5820,
2009,9,55-64,2935,3404,
2009,9,65-74,1818,1660,
2009,9,75+,1922,1381,
2009,10,0-4,1987,1977,
2009,10,5-14,3608,3752,
2009,10,15-19,1878,2114,
2009,10,20-24,2331,2603,
2009,10,25-34,5043,5717,
2009,10,35-44,4806,5770,
2009,10,45-54,4645,5658,
2009,10,55-64,3178,3091,
2009,10,65-74,1933,1958,
2009,10,75+,1151,909,
2009,11,0-4,1544,1499,
2009,11,5-14,3003,3138,
2009,11,15-19,2156,2182,
2009,11,20-24,2535,2439,
2009,11,25-34,4668,4759,
2009,11,35-44,4807,4731,
2009,11,45-54,5417,5316,
2009,11,55-64,3855,3713,
2009,11,65-74,2549,2185,
2009,11,75+,3310,2011,
2009,12,0-4,3545,3724,
2009,12,5-14,6181,6337,
2009,12,15-19,2708,2917,
2009,12,20-24,3054,3262,
2009,12,25-34,9139,9277,
2009,12,35-44,8503,8942,
2009,12,45-54,7477,7766,
2009,12,55-64,3992,4157,
2009,12,65-74,2347,1989,
2009,12,75+,1866,1307,
2009,13,0-4,2804,2853,
2009,13,5-14,5213,5450,
2009,13,15-19,2796,3135,
2009,13,20-24,2988,3294,
2009,13,25-34,6724,6468,
2009,13,35-44,7427,7378,
2009,13,45-54,7043,6892,
2009,13,55-64,4193,4158,
2009,13,65-74,2191,1924,
2009,13,75+,1426,1072,
2009,14,0-4,1603,1685,
2009,14,5-14,4283,4487,
2009,14,15-19,2451,2758,
2009,14,20-24,2074,2320,
2009,14,25-34,3470,3618,
2009,14,35-44,4822,4535,
2009,14,45-54,5711,5513,
2009,14,55-64,3500,3590,
2009,14,65-74,1725,1685,
2009,14,75+,1429,909,
2011,1,0-4,2810,2684,
2011,1,5-14,4818,4913,
2011,1,15-19,2629,2747,
2011,1,20-24,3240,3407,
2011,1,25-34,6008,5849,
2011,1,35-44,6802,6704,
2011,1,45-54,6122,6058,
2011,1,55-64,4516,4498,
2011,1,65-74,2680,2388,
2011,1,75+,2562,1690,
2011,2,0-4,2500,2459,
2011,2,5-14,4871,4867,
2011,2,15-19,2481,2645,
2011,2,20-24,2389,2660,
2011,2,25-34,5427,5359,
2011,2,35-44,6347,6199,
2011,2,45-54,5803,5764,
2011,2,55-64,3665,3754,
2011,2,65-74,1632,1567,
2011,2,75+,1118,863,
2011,3,0-4,4038,4230,
2011,3,5-14,7185,7563,
2011,3,15-19,2576,2975,
2011,3,20-24,2616,2518,
2011,3,25-34,9166,8289,
2011,3,35-44,8609,9051,
2011,3,45-54,5004,5601,
2011,3,55-64,2988,2885,
2011,3,65-74,1619,1486,
2011,3,75+,799,664,
2011,4,0-4,2153,2222,
2011,4,5-14,4811,4996,
2011,4,15-19,2873,3094,
2011,4,20-24,3039,3304,
2011,4,25-34,5420,5569,
2011,4,35-44,6449,6274,
2011,4,45-54,7675,7552,
2011,4,55-64,5117,5159,
2011,4,65-74,2610,2445,
2011,4,75+,2167,1582,
2011,5,0-4,2622,2626,
2011,5,5-14,5130,5329,
2011,5,15-19,2655,2905,
2011,5,20-24,2843,2908,
2011,5,25-34,5995,5873,
2011,5,35-44,5952,6212,
2011,5,45-54,5664,6120,
2011,5,55-64,4154,4184,
2011,5,65-74,2115,2091,
2011,5,75+,1303,967,
2011,6,0-4,2652,2839,
2011,6,5-14,5249,5344,
2011,6,15-19,2449,2604,
2011,6,20-24,2126,2157,
2011,6,25-34,5161,4394,
2011,6,35-44,7427,6663,
2011,6,45-54,6635,6364,
2011,6,55-64,3745,3847,
2011,6,65-74,2272,1945,
2011,6,75+,2027,1396,
2011,7,0-4,1658,1703,
2011,7,5-14,2557,2670,
2011,7,15-19,1715,1832,
2011,7,20-24,3568,4021,
2011,7,25-34,6905,8005,
2011,7,35-44,5267,5863,
2011,7,45-54,5312,5830,
2011,7,55-64,4013,4432,
2011,7,65-74,2605,2394,
2011,7,75+,3693,2450,
2011,8,0-4,1486,1576,
2011,8,5-14,2037,2024,
2011,8,15-19,1245,1193,
2011,8,20-24,3972,3286,
2011,8,25-34,11642,12637,
2011,8,35-44,6114,8096,
2011,8,45-54,4689,5565,
2011,8,55-64,3203,3733,
2011,8,65-74,1924,1625,
2011,8,75+,1961,1222,
2011,9,0-4,1688,1772,
2011,9,5-14,2963,2987,
2011,9,15-19,1710,1784,
2011,9,20-24,2335,2508,
2011,9,25-34,6160,6807,
2011,9,35-44,5591,6209,
2011,9,45-54,5935,6807,
2011,9,55-64,3968,4311,
2011,9,65-74,2395,2125,
2011,9,75+,2711,1661,
2011,10,0-4,2399,2304,
2011,10,5-14,4340,4373,
2011,10,15-19,2129,2337,
2011,10,20-24,2486,2731,
2011,10,25-34,5701,5892,
2011,10,35-44,5660,6460,
2011,10,45-54,5503,6628,
2011,10,55-64,3582,3942,
2011,10,65-74,2398,2248,
2011,10,75+,1523,1228,
2011,11,0-4,1947,1948,
2011,11,5-14,3579,3600,
2011,11,15-19,2157,2347,
2011,11,20-24,3106,2931,
2011,11,25-34,5745,5794,
2011,11,35-44,5886,5852,
2011,11,45-54,6201,6130,
2011,11,55-64,4605,4587,
2011,11,65-74,3231,2821,
2011,11,75+,4009,2635,
2011,12,0-4,3411,3664,
2011,12,5-14,5137,5286,
2011,12,15-19,1918,2081,
2011,12,20-24,1907,1868,
2011,12,25-34,7952,7552,
2011,12,35-44,6929,7257,
2011,12,45-54,4826,5041,
2011,12,55-64,2740,2772,
2011,12,65-74,1017,1047,
2011,12,75+,586,425,
2011,13,0-4,2609,2682,
2011,13,5-14,5061,5185,
2011,13,15-19,2562,2983,
2011,13,20-24,2606,2912,
2011,13,25-34,5936,5735,
2011,13,35-44,7036,6701,
2011,13,45-54,6657,6530,
2011,13,55-64,4335,4184,
2011,13,65-74,2103,1934,
2011,13,75+,1515,1066,
2011,14,0-4,1748,1999,
2011,14,5-14,4594,4751,
2011,14,15-19,2574,2840,
2011,14,20-24,2250,2528,
2011,14,25-34,4040,4164,
2011,14,35-44,5292,5060,
2011,14,45-54,6356,6132,
2011,14,55-64,4462,4486,
2011,14,65-74,2549,2392,
2011,14,75+,1727,1307,
2014,1,0-4,2994,2552,
2014,1,5-14,5120,5456,
2014,1,15-19,2603,2802,
2014,1,20-24,3338,3786,
2014,1,25-34,6269,6268,
2014,1,35-44,7269,6826,
2014,1,45-54,5990,5988,
2014,1,55-64,4931,4904,
2014,1,65-74,3161,2807,
2014,1,75+,2565,1976,
2014,2,0-4,3442,2816,
2014,2,5-14,5425,5368,
2014,2,15-19,2598,2793,
2014,2,20-24,2603,2931,
2014,2,25-34,6763,6608,
2014,2,35-44,7283,7091,
2014,2,45-54,6256,6319,
2014,2,55-64,4345,4296,
2014,2,65-74,2156,2067,
2014,2,75+,1340,1109,
2014,3,0-4,4580,4135,
2014,3,5-14,7445,7847,
2014,3,15-19,2785,3074,
2014,3,20-24,2749,2753,
2014,3,25-34,9827,9010,
2014,3,35-44,9126,9099,
2014,3,45-54,5497,5953,
2014,3,55-64,3533,3334,
2014,3,65-74,1949,1792,
2014,3,75+,959,686,
2014,4,0-4,2687,2220,
2014,4,5-14,4605,4917,
2014,4,15-19,2583,2819,
2014,4,20-24,2783,3173,
2014,4,25-34,5809,6224,
2014,4,35-44,6579,6142,
2014,4,45-54,7232,7095,
2014,4,55-64,5917,5762,
2014,4,65-74,3080,2909,
2014,4,75+,2211,1628,
2014,5,0-4,3850,3263,
2014,5,5-14,6214,6636,
2014,5,15-19,3012,3265,
2014,5,20-24,3218,3800,
2014,5,25-34,8145,8359,
2014,5,35-44,7373,7911,
2014,5,45-54,6281,6667,
2014,5,55-64,5101,5165,
2014,5,65-74,2996,2912,
2014,5,75+,1309,1012,
2014,6,0-4,3259,2688,
2014,6,5-14,5938,6047,
2014,6,15-19,2565,2798,
2014,6,20-24,2328,2402,
2014,6,25-34,5720,4902,
2014,6,35-44,7867,6950,
2014,6,45-54,6997,6581,
2014,6,55-64,4604,4511,
2014,6,65-74,2580,2311,
2014,6,75+,2257,1498,
2014,7,0-4,2537,1780,
2014,7,5-14,2910,2891,
2014,7,15-19,1577,1893,
2014,7,20-24,3680,4138,
2014,7,25-34,7905,9005,
2014,7,35-44,6061,6315,
2014,7,45-54,4916,5244,
2014,7,55-64,4744,4886,
2014,7,65-74,2852,2626,
2014,7,75+,3546,2483,
2014,8,0-4,2572,1666,
2014,8,5-14,2051,2225,
2014,8,15-19,1051,1127,
2014,8,20-24,3594,3212,
2014,8,25-34,14121,14170,
2014,8,35-44,7181,8416,
2014,8,45-54,4657,5375,
2014,8,55-64,3456,3907,
2014,8,65-74,1979,1808,
2014,8,75+,1829,1212,
2014,9,0-4,2669,1996,
2014,9,5-14,2911,3025,
2014,9,15-19,1458,1650,
2014,9,20-24,2376,2481,
2014,9,25-34,7250,7537,
2014,9,35-44,6067,6431,
2014,9,45-54,5650,6197,
2014,9,55-64,4485,5011,
2014,9,65-74,2589,2335,
2014,9,75+,2704,1659,
2014,10,0-4,2786,2431,
2014,10,5-14,4312,4587,
2014,10,15-19,2096,2307,
2014,10,20-24,2555,2901,
2014,10,25-34,6343,6794,
2014,10,35-44,6041,6783,
2014,10,45-54,5468,6594,
2014,10,55-64,4066,4534,
2014,10,65-74,2589,2403,
2014,10,75+,1563,1290,
2014,11,0-4,2409,2112,
2014,11,5-14,3731,3822,
2014,11,15-19,1975,2073,
2014,11,20-24,2825,2947,
2014,11,25-34,6277,6437,
2014,11,35-44,6231,6195,
2014,11,45-54,5925,5784,
2014,11,55-64,5061,5038,
2014,11,65-74,3565,3000,
2014,11,75+,4084,2550,
2014,12,0-4,5227,4498,
2014,12,5-14,6556,6910,
2014,12,15-19,2378,2479,
2014,12,20-24,2259,2396,
2014,12,25-34,10220,9553,
2014,12,35-44,9212,9212,
2014,12,45-54,5869,5958,
2014,12,55-64,3789,3704,
2014,12,65-74,1674,1617,
2014,12,75+,676,746,
2014,13,0-4,2773,2592,
2014,13,5-14,5320,5585,
2014,13,15-19,2539,2928,
2014,13,20-24,2531,2797,
2014,13,25-34,6020,5902,
2014,13,35-44,7385,6999,
2014,13,45-54,6715,6389,
2014,13,55-64,4866,4758,
2014,13,65-74,2802,2462,
2014,13,75+,1670,1225,
2014,14,0-4,2284,2220,
2014,14,5-14,4678,4985,
2014,14,15-19,2479,2669,
2014,14,20-24,2327,2590,
2014,14,25-34,4788,4642,
2014,14,35-44,5766,5510,
2014,14,45-54,6147,5958,
2014,14,55-64,5072,4904,
2014,14,65-74,2882,2800,
2014,14,75+,2105,1620,
2016,1,0-4,2593,2797,
2016,1,5-14,5258,5470,
2016,1,15-19,2756,2716,
2016,1,20-24,3127,3352,
2016,1,25-34,6086,6228,
2016,1,35-44,6764,6460,
2016,1,45-54,6113,6036,
2016,1,55-64,5347,5090,
2016,1,65-74,3255,3047,
2016,1,75+,2960,2110,
2016,2,0-4,3402,3554,
2016,2,5-14,6190,6285,
2016,2,15-19,2872,3129,
2016,2,20-24,2808,3153,
2016,2,25-34,7632,7722,
2016,2,35-44,8019,7564,
2016,2,45-54,6933,6832,
2016,2,55-64,5003,4917,
2016,2,65-74,2574,2499,
2016,2,75+,1526,1397,
2016,3,0-4,4422,4730,
2016,3,5-14,7877,8456,
2016,3,15-19,3043,3459,
2016,3,20-24,2820,3051,
2016,3,25-34,10086,9620,
2016,3,35-44,9750,9525,
2016,3,45-54,6305,6869,
2016,3,55-64,3937,3824,
2016,3,65-74,2358,2140,
2016,3,75+,1043,833,
2016,4,0-4,2483,2532,
2016,4,5-14,4600,4955,
2016,4,15-19,2405,2674,
2016,4,20-24,2495,2864,
2016,4,25-34,5604,6188,
2016,4,35-44,6414,6138,
2016,4,45-54,6770,6799,
2016,4,55-64,6033,5954,
2016,4,65-74,3409,3195,
2016,4,75+,2383,1812,
2016,5,0-4,3437,3514,
2016,5,5-14,6250,6761,
2016,5,15-19,2967,3126,
2016,5,20-24,3058,3488,
2016,5,25-34,7659,7727,
2016,5,35-44,7612,8264,
2016,5,45-54,6020,6414,
2016,5,55-64,5365,5333,
2016,5,65-74,3145,3188,
2016,5,75+,1599,1219,
2016,6,0-4,2966,3030,
2016,6,5-14,6126,6426,
2016,6,15-19,2570,2823,
2016,6,20-24,2304,2417,
2016,6,25-34,5490,4925,
2016,6,35-44,7798,6939,
2016,6,45-54,7101,6731,
2016,6,55-64,5105,5026,
2016,6,65-74,2951,2557,
2016,6,75+,2309,1684,
2016,7,0-4,2224,2431,
2016,7,5-14,2979,3263,
2016,7,15-19,1691,1702,
2016,7,20-24,3595,4126,
2016,7,25-34,8167,9044,
2016,7,35-44,6154,6735,
2016,7,45-54,4989,5279,
2016,7,55-64,4750,5132,
2016,7,65-74,3019,2997,
2016,7,75+,3439,2455,
2016,8,0-4,2343,2431,
2016,8,5-14,2263,2422,
2016,8,15-19,1015,1074,
2016,8,20-24,3223,2741,
2016,8,25-34,13957,14254,
2016,8,35-44,7330,9161,
2016,8,45-54,4355,5216,
2016,8,55-64,3603,4001,
2016,8,65-74,2022,1995,
2016,8,75+,1861,1187,
2016,9,0-4,2475,2658,
2016,9,5-14,2971,3103,
2016,9,15-19,1475,1606,
2016,9,20-24,2072,2135,
2016,9,25-34,7064,7222,
2016,9,35-44,6002,6916,
2016,9,45-54,5354,5793,
2016,9,55-64,4770,5219,
2016,9,65-74,2828,2594,
2016,9,75+,2600,1676,
2016,10,0-4,2808,3030,
2016,10,5-14,4174,4556,
2016,10,15-19,1891,2115,
2016,10,20-24,2220,2437,
2016,10,25-34,5696,6215,
2016,10,35-44,6163,7150,
2016,10,45-54,5282,6067,
2016,10,55-64,4249,4856,
2016,10,65-74,2672,2526,
2016,10,75+,1653,1386,
2016,11,0-4,2378,2509,
2016,11,5-14,4048,4090,
2016,11,15-19,2115,1997,
2016,11,20-24,2649,2583,
2016,11,25-34,6191,6303,
2016,11,35-44,6306,6332,
2016,11,45-54,5760,5583,
2016,11,55-64,5348,5064,
2016,11,65-74,3634,3138,
2016,11,75+,3927,2681,
2016,12,0-4,5341,5313,
2016,12,5-14,7678,8219,
2016,12,15-19,2696,2790,
2016,12,20-24,2521,2619,
2016,12,25-34,11290,10464,
2016,12,35-44,10520,10950,
2016,12,45-54,6765,6947,
2016,12,55-64,4488,4408,
2016,12,65-74,2243,2125,
2016,12,75+,1238,769,
2016,13,0-4,2484,2734,
2016,13,5-14,5362,5605,
2016,13,15-19,2444,2728,
2016,13,20-24,2303,2673,
2016,13,25-34,5671,5591,
2016,13,35-44,7117,6641,
2016,13,45-54,6563,6349,
2016,13,55-64,5297,5097,
2016,13,65-74,3108,2820,
2016,13,75+,1722,1274,
2016,14,0-4,2500,2526,
2016,14,5-14,4874,5313,
2016,14,15-19,2334,2634,
2016,14,20-24,2205,2409,
2016,14,25-34,5209,5132,
2016,14,35-44,6105,5998,
2016,14,45-54,5979,5910,
2016,14,55-64,5436,5245,
2016,14,65-74,3162,3069,
2016,14,75+,2454,1915,
2019,1,0-4,2300,2410,16
2019,1,5-14,6041,6194,37
2019,1,15-19,2557,2787,14
2019,1,20-24,2409,2672,20
2019,1,25-34,5240,5160,29
2019,1,35-44,7144,6556,18
2019,1,45-54,6651,6641,21
2019,1,55-64,5839,5552,34
2019,1,65-74,4053,3629,10
2019,1,75+,2972,2243,5
2019,2,0-4,3041,3326,26
2019,2,5-14,6282,6528,55
2019,2,15-19,2592,2881,29
2019,2,20-24,2449,2702,15
2019,2,25-34,7027,6885,39
2019,2,35-44,7970,7772,61
2019,2,45-54,6363,6323,32
2019,2,55-64,5285,4997,30
2019,2,65-74,3163,2972,23
2019,2,75+,1796,1443,8
2019,3,0-4,2055,2185,15
2019,3,5-14,5085,5514,66
2019,3,15-19,2274,2641,38
2019,3,20-24,1982,2285,29
2019,3,25-34,4579,4410,63
2019,3,35-44,6384,5949,147
2019,3,45-54,5711,5536,122
2019,3,55-64,3655,3777,33
2019,3,65-74,2237,2027,19
2019,3,75+,1141,858,7
2019,4,0-4,2483,2548,16
2019,4,5-14,5288,5788,61
2019,4,15-19,2300,2446,38
2019,4,20-24,3075,3293,44
2019,4,25-34,6390,6845,109
2019,4,35-44,6935,7188,64
2019,4,45-54,6234,6138,67
2019,4,55-64,7241,6947,47
2019,4,65-74,4767,4407,28
2019,4,75+,3530,2779,15
2019,5,0-4,3336,3757,21
2019,5,5-14,6917,8143,94
2019,5,15-19,2758,3116,18
2019,5,20-24,2935,3453,24
2019,5,25-34,8615,8516,118
2019,5,35-44,9072,9042,131
2019,5,45-54,5147,5733,30
2019,5,55-64,4178,4020,29
2019,5,65-74,2585,2358,13
2019,5,75+,832,723,3
2019,6,0-4,2493,2563,27
2019,6,5-14,6657,7036,47
2019,6,15-19,2865,2971,15
2019,6,20-24,2303,2414,16
2019,6,25-34,4908,4617,21
2019,6,35-44,7607,6664,48
2019,6,45-54,7371,7034,35
2019,6,55-64,5998,5679,27
2019,6,65-74,3781,3349,18
2019,6,75+,2682,1959,14
2019,7,0-4,1866,1964,27
2019,7,5-14,2778,3003,27
2019,7,15-19,1072,1186,25
2019,7,20-24,3424,3479,50
2019,7,25-34,8275,8550,79
2019,7,35-44,6420,7013,55
2019,7,45-54,4432,4617,26
2019,7,55-64,4326,4490,26
2019,7,65-74,2947,2940,9
2019,7,75+,2398,1769,7
2019,8,0-4,2368,2373,23
2019,8,5-14,3328,3538,36
2019,8,15-19,1532,1497,9
2019,8,20-24,3347,2842,49
2019,8,25-34,12868,12404,143
2019,8,35-44,8688,9917,121
2019,8,45-54,5130,5644,39
2019,8,55-64,4124,4268,29
2019,8,65-74,2658,2493,16
2019,8,75+,2138,1368,9
2019,9,0-4,2738,2829,10
2019,9,5-14,4608,5111,26
2019,9,15-19,1901,2118,15
2019,9,20-24,2340,2559,12
2019,9,25-34,7667,7902,46
2019,9,35-44,7558,8422,31
2019,9,45-54,5662,6676,34
2019,9,55-64,5681,6556,32
2019,9,65-74,3563,3436,14
2019,9,75+,2353,1784,11
2019,10,0-4,2723,2992,17
2019,10,5-14,5813,6511,25
2019,10,15-19,2609,2788,9
2019,10,20-24,2836,3121,12
2019,10,25-34,6526,6672,23
2019,10,35-44,7068,7548,38
2019,10,45-54,5607,6055,26
2019,10,55-64,5858,5999,28
2019,10,65-74,4084,3837,16
2019,10,75+,2180,1873,7
2019,11,0-4,2280,2497,16
2019,11,5-14,4564,4657,45
2019,11,15-19,1966,2141,24
2019,11,20-24,2669,2750,29
2019,11,25-34,8160,8716,671
2019,11,35-44,7555,7963,112
2019,11,45-54,6272,6419,61
2019,11,55-64,6873,6658,41
2019,11,65-74,4870,4492,21
2019,11,75+,4264,3211,6
2019,12,0-4,4608,4955,33
2019,12,5-14,8607,9132,53
2019,12,15-19,2623,2674,17
2019,12,20-24,2292,2275,16
2019,12,25-34,9996,9244,57
2019,12,35-44,11424,11442,59
2019,12,45-54,6538,7072,36
2019,12,55-64,4928,4620,17
2019,12,65-74,2857,2444,9
2019,12,75+,1189,953,5
2019,13,0-4,2690,2816,16
2019,13,5-14,5946,6443,37
2019,13,15-19,2627,2784,38
2019,13,20-24,2311,2662,19
2019,13,25-34,5553,5525,31
2019,13,35-44,7827,7289,37
2019,13,45-54,6888,6594,41
2019,13,55-64,6059,5707,44
2019,13,65-74,3948,3454,14
2019,13,75+,2128,1696,11
2019,14,0-4,2540,2588,21
2019,14,5-14,5809,6248,30
2019,14,15-19,2784,3114,17
2019,14,20-24,2413,2691,12
2019,14,25-34,5476,5315,36
2019,14,35-44,6903,6737,35
2019,14,45-54,6760,6489,37
2019,14,55-64,7007,6666,32
2019,14,65-74,4546,4219,23
2019,14,75+,2565,2061,9
